"STATION","NAME","DATE","PRCP","SNOW","SNWD"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-01","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-02","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-03","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-04","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-05","1.65","16.9","15.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-06","0.00","0.0","13.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-07","0.00","0.0","12.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-08","0.00","0.0","11.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-09","0.00","0.0","10.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-10","0.00","0.0","10.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-11","0.00","0.0","9.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-12","0.00","0.0","5.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-13","3.45","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-14","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-15","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-16","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-17","0.02","0.3","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-18","0.18","1.3","1.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-19","0.00","0.0","1.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-20","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-21","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-22","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-23","0.13","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-24","1.32","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-25","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-26","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-27","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-28","0.06","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-29","0.04","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-30","0.20","3.8","4.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-01-31","0.08","2.2","5.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-01","0.00","0.0","3.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-02","0.27","0.2","1.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-03","0.03","0.3","1.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-04","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-05","0.84","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-06","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-07","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-08","0.58","0.6","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-09","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-10","0.01","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-11","0.56","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-12","0.87","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-13","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-14","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-15","0.05","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-16","0.15","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-17","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-18","0.63","5.9","5.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-19","0.00","0.0","2.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-20","0.06","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-21","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-22","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-23","0.05","0.4","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-24","0.30","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-25","0.10","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-26","0.60","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-27","0.00","0.0","0.0"
"USC00198368","NWS BOSTON NORTON, MA US","2018-02-28","0.00","0.0","0.0"
